Accession	LT50NAC	LT50ACC
N14	-7.346	-12.1
N13	-5.523	-11.9
Ms-0	-7.715	-11.89
N6	-7.344	-11.83
Nok-1	-6.657	-11.76
Kn-0	-6.567	-11.56
Oy-1	-7.199	-11.48
Stw-0	-6.922	-11.38
Ta-0	-7.498	-11.16
Ty-0	-5.592	-11.14
Rsch-0	-5.23	-10.98
Te-0	-7.001	-10.87
RRS-7	-5.979	-10.78
Tsu-9	-5.443	-10.78
Rubezhnoe-1	-6.188	-10.71
En-T	-6.1	-10.7
Ws	-6.024	-10.62
St-0	-6.259	-10.34
Sp-0	-5.278	-10.25
Nd-0	-6.358	-10.18
N7	-6.676	-10.14
Yo-0	-5.595	-10.08
Ct-1	-6.04	-10.03
Col-0	-5.341	-9.675
Bur-0	-6.186	-9.445
Blh-1	-6.212	-9.413
Gre-0	-5.113	-9.357
Akita	-4.742	-9.344
Sav-0	-5.904	-9.203
Bl-1	-6.058	-9.195
Kondara	-5.514	-9.133
Bsch-2	-5.431	-9.132
Rld-2	-4.777	-9.082
Ri-0	-5.985	-9.009
Sha	-6.278	-8.967
La-er	-6.026	-8.937
Edi-0	-4.97	-8.906
Ishikawa	-5.859	-8.695
Sap-0	-5.372	-8.679
Jm-0	-5.489	-8.448
Mh-1	-4.921	-8.412
Pi-0	-6.607	-8.378
Bla-1	-6.175	-8.316
Mt-0	-5.552	-8.162
Jea	-5.122	-8.147
Lip-0	-4.973	-7.581
Cvi-G1	-4.98	-7.467
Je54	-5.28	-7.212
Pyl-1	-5.307	-6.964
Van-0	-5.144	-6.726
Co	-4.608	-6.497
Ge-0	-5.069	-6.375
Ran	-5.885	-6.344
C24	-4.612	-5.93
Alc-0	-5.257	-5.907
Can-0	-4.276	-5.774
Be-0	-4.633	-5.706
Sah-0	-4.713	-5.401
