versuch_id	sample_id	plant_id	accession	plant_name	glucose	fructose	sucrose	raffinose	amino_acids	malate	fumarate		proline	LT50NAC	LT50ACC	bbch_id	antho_value	anthoscore	number1	date1	aliquot_id	date2	number2
43	43818	476397	Akita	[At.Akita.n].2.1.1	14.8913	15.6417	15.1181	1.5931	7.4744	13.2584	2.7156	[At.Akita.n].2.1.1	0.03488077	-4.742	-9.344	50	mittel	3	13	31-Mar-08	476397	28. Feb 08	13
43	43819	476398	Akita	[At.Akita.n].2.1.2	16.5236	18.6503	12.8882	1.9387	6.319	11.4548	1.9908	[At.Akita.n].2.1.2	0.032586378	-4.742	-9.344	51	mittel	3	15	31-Mar-08	476398	28. Feb 08	13
43	43820	476395	Alc-0	[At.Alc-0. n].3.1	8.6011	12.5546	10.6749	1.1634	5.7846	13.6191	2.2583	[At.Alc-0. n].3.1	0.034983878	-5.257	-5.907	52	mittel	3	16	31-Mar-08	476395	28. Feb 08	13
43	43821	476396	Alc-0	[At.Alc-0. n].3.2	7.4105	12.0839	11.5892	0.6289	9.2692	20.5222	3.4806	[At.Alc-0. n].3.2	0.037643083	-5.257	-5.907	52	mittel	3	10	31-Mar-08	476396	28. Feb 08	8
43	43822	476393	Be-0	[At.Be-0.n].2.1.1	8.2396	5.8861	10.3791	0.2799	10.5976	15.6471	3.9176	[At.Be-0.n].2.1.1	0.04631799	-4.633	-5.706	61	gering	2	19	31-Mar-08	476393	28. Feb 08	15
43	43823	476394	Be-0	[At.Be-0.n].2.1.2	8.1793	4.4313	10.2887	0.2956	12.0519	16.1598	4.6458	[At.Be-0.n].2.1.2	0.049717475	-4.633	-5.706	61	gering	2	19	31-Mar-08	476394	28. Feb 08	15
43	43824	476391	Bl-1	[At.Bl-1.n].22.4.1	8.6425	8.5814	18.1015	1.1389	7.7411	12.4596	3.5432	[At.Bl-1.n].22.4.1	0.052153231	-6.058	-9.195	51	hoch	4	7	31-Mar-08	476391	28. Feb 08	6
43		476392	Bl-1	[At.Bl-1.n].22.4.2										-6.058	-9.195	19	mittel	3	11	31-Mar-08	476392	28. Feb 08	8
43	43825	476337	Bla-1	[At.Bla-1.n].102.1.1	4.0148	2.5804	11.4309	0.8195	6.8137	16.9946	2.436	[At.Bla-1.n].102.1.1	0.044768703	-6.175	-8.316	51	gering	2	29	31-Mar-08	476337	28. Feb 08	28
43	43826	476338	Bla-1	[At.Bla-1.n].102.1.2	6.1952	3.6845	11.5317	0.8515	8.0221	18.2192	2.736	[At.Bla-1.n].102.1.2	0.05249644	-6.175	-8.316	52	gering	2	27	31-Mar-08	476338	28. Feb 08	22
43	43827	476389	Bsch-2	[At.Bsch-2.n].2.1.1	12.2305	11.7965	12.7357	1.2421	5.4177	11.2149	3.2859	[At.Bsch-2.n].2.1.1	0.035461237	-5.431	-9.132	50	sehr hoch	5	26	31-Mar-08	476389	28. Feb 08	28
43	43828	476390	Bsch-2	[At.Bsch-2.n].2.1.2	16.8239	15.5877	11.8618	1.4445	6.4393	15.0313	2.3949	[At.Bsch-2.n].2.1.2	0.039495597	-5.431	-9.132	50	sehr hoch	5	22	31-Mar-08	476390	28. Feb 08	22
43	43829	476309	Bur-0	[At.Bur-0.n].32.1	5.1797	4.6821	9.8771	0.4935	9.8771	17.9501	2.9885	[At.Bur-0.n].32.1	0.047446549	-4.612	-5.93	50	sehr gering	1	7	31-Mar-08	476309	28. Feb 08	4
43		476310	Bur-0	[At.Bur-0.n].32.2										-4.612	-5.93	19	mittel	3	13	31-Mar-08	476310	28. Feb 08	9
43	43830	476385	C24	[At.C24.n].728.1.1	8.6834	6.0288	10.7459	0.4247	6.8981	13.4326	2.6616	[At.C24.n].728.1.1	0.039046939	-4.612	-5.93	NA	NA	NA	NA	31-Mar-08		28. Feb 08	NA
43	43831	476386	C24	[At.C24.n].728.1.2	5.7251	3.6326	8.8081	0.3146	10.2531	13.4447	2.8062	[At.C24.n].728.1.2	0.04075265	-4.612	-5.93	NA	NA	NA	NA	31-Mar-08		28. Feb 08	NA
43	43832	476387	C24	[At.C24.n].728.1.3	6.9676	4.2626	10.8982	0.3189	8.5066	1.0602	0.9239	[At.C24.n].728.1.3	0.041279997	-4.612	-5.93	61	sehr gering	1	19	31-Mar-08	476387	28. Feb 08	17
43	43833	476388	C24	[At.C24.n].728.1.4	8.2172	5.3261	11.2429	0.3472	9.9155	13.792	3.6341	[At.C24.n].728.1.4	0.044329228	-4.612	-5.93	61	gering	2	24	31-Mar-08	476388	28. Feb 08	23
52		483064	C24	[At.C24.n].728.1.5										-4.612	-5.93	59	gering	2	30	31-Mar-08	483064	28. Feb 08	26
52		483065	C24	[At.C24.n].728.1.6										-4.612	-5.93	61	sehr gering	1	21	31-Mar-08	483065	28. Feb 08	17
43	43834	476307	Can-0	[At.Can-0.n].53.13	2.894229469	3.043342995	4.969827295	0.268597826	12.4926	13.19	2.0078	[At.Can-0.n].53.13	0.043643089	-4.276	-5.774	55	sehr gering	1	12	31-Mar-08	476307	28. Feb 08	8
43	43835	476308	Can-0	[At.Can-0.n].53.14	0.833380435	0.661044686	0.549640097	0.033990338	7.2076	14.1841	2.1051	[At.Can-0.n].53.14	0.030916795	-4.276	-5.774	55	gering	2	19	31-Mar-08	476308	28. Feb 08	18
43	43836	476407	Co	[At.Co.n].2.11.1	6.2004	3.9372	8.43	0.3732	9.224	15.2464	3.6262	[At.Co.n].2.11.1	0.044311497	-4.608	-6.497	61	sehr gering	1	19	31-Mar-08	476407	28. Feb 08	11
43	43837	476408	Co	[At.Co.n].2.11.2	9.8346	4.1652	9.0868	0.2878	9.5012	16.4242	4.4459	[At.Co.n].2.11.2	0.036009955	-4.608	-6.497	61	gering	2	18	31-Mar-08	476408	28. Feb 08	12
43	43838	476359	Col-0	[At.Col-0-G1.n].1-1.1.3	4.9918	5.4119	13.3576	0.7236	6.9749	13.1257	4.2286	[At.Col-0-G1.n].1-1.1.3	0.051138894	-5.341	-9.675	50	hoch	4	10	31-Mar-08	476359	28. Feb 08	9
43		476360	Col-0	[At.Col-0-G1.n].1-1.1.4										-5.341	-9.675	51	hoch	4	3	31-Mar-08	476360	28. Feb 08	2
52	43916	483060	Col-0	[At.Col-0-G1.n].1-1.1.5	10.3026	11.0928	15.1757	1.5151	5.0359	11.3066	3.5331	[At.Col-0-G1.n].1-1.1.5	0.034092596	-5.341	-9.675	50	sehr hoch	5	38	31-Mar-08	483060	28. Feb 08	41
52	43917	483061	Col-0	[At.Col-0-G1.n].1-1.1.6	11.1247	13.1437	13.3426	2.5102	3.7593	10.491	3.5256	[At.Col-0-G1.n].1-1.1.6	0.039417373	-5.341	-9.675	50	sehr hoch	5	32	31-Mar-08	483061	28. Feb 08	31
43	43839	476305	Ct-1	[At.Ct-1.n].3.1	9.5436	10.2953	15.509	1.2329	9.2747	12.3454	3.63	[At.Ct-1.n].3.1	0.040327243	-6.04	-10.03	53	mittel	3	19	31-Mar-08	476305	28. Feb 08	14
43	43840	476306	Ct-1	[At.Ct-1.n].3.2	7.9471	6.6347	10.7068	0.6804	9.0696	12.5605	6.9307	[At.Ct-1.n].3.2	0.047784214	-6.04	-10.03	52	mittel	3	18	31-Mar-08	476306	28. Feb 08	20
43		476361	Cvi-G1	[At.Cvi-G1.n].1.1.1										-4.98	-7.467	50	gering	2	3	31-Mar-08	476361	28. Feb 08	2
43	43841	476362	Cvi-G1	[At.Cvi-G1.n].1.1.2	11.6976	15.1466	16.1917	1.0926	9.0844	14.8071	3.5529	[At.Cvi-G1.n].1.1.2	0.039224561	-4.98	-7.467	51	mittel	3	6	31-Mar-08	476362	28. Feb 08	5
43	43842	476383	El-0	[At.El-0.n].4.1.1	12.7955	11.1737	12.0893	1.9547	5.1648	12.4618	2.5599	[At.El-0.n].4.1.1	0.03753323	NA	NA	51	hoch	4	24	31-Mar-08	476383	28. Feb 08	15
43	43843	476384	El-0	[At.El-0.n].4.1.2	21.5733	28.8196	19.5724	2.6433	7.0153	0.9791	1.2204	[At.El-0.n].4.1.2	0.034707714	NA	NA	50	sehr hoch	5	19	31-Mar-08	476384	28. Feb 08	20
43	43844	476339	En-T	[At.Enkheim-T. n].2.1	6.1764	6.0822	10.0885	0.8245	7.4112	1.7519	0.9446	[At.Enkheim-T. n].2.1	0.034019516	-6.1	-10.7	51	sehr hoch	5	19	31-Mar-08	476339	28. Feb 08	13
43	43845	476340	En-T	[At.Enkheim-T. n].2.2	13.8756	15.0116	10.6569	1.4026	6.2798	14.3892	2.6041	[At.Enkheim-T. n].2.2	0.050169103	-6.1	-10.7	51	sehr hoch	5	20	31-Mar-08	476340	28. Feb 08	18
43	43846	476381	Est-1	[At.Est-1.n].2.5.1	9.9709	7.4718	11.0781	0.7031	6.0452	10.9863	2.6702	[At.Est-1.n].2.5.1	0.028855675	-6.436	-9.66	50	hoch	4	25	31-Mar-08	476381	28. Feb 08	18
43	43847	476382	Est-1	[At.Est-1.n].2.5.2	17.1899	10.8169	13.6266	0.9992	5.4187	10.2495	3.0024	[At.Est-1.n].2.5.2	0.031235936	-6.436	-9.66	50	hoch	4	18	31-Mar-08	476382	28. Feb 08	17
43		476353	Ge-0	[At.Ge-0. n].2.1										-5.069	-6.375	59	sehr gering	1	5	31-Mar-08	476353	28. Feb 08	5
43		476354	Ge-0	[At.Ge-0. n].2.2										-5.069	-6.375	53	sehr gering	1	3	31-Mar-08	476354	28. Feb 08	3
43	43848	476379	Gol-1	[At.Gol-1.n].2.1.1	16.5899	17.1671	11.3661	1.3604	5.8656	12.9125	3.2197	[At.Gol-1.n].2.1.1	0.037325981	NA	NA	50	sehr hoch	5	14	31-Mar-08	476379	28. Feb 08	13
43	43849	476380	Gol-1	[At.Gol-1.n].2.1.2	16.5441	18.58	16.165	1.363	6.3168	15.9278	4.2195	[At.Gol-1.n].2.1.2	0.037970496	NA	NA	51	sehr hoch	5	8	31-Mar-08	476380	28. Feb 08	8
43		476303	Gr	[At.Gr.n].2.1										NA	NA	50	hoch	4	15	31-Mar-08	476303	28. Feb 08	9
43		476304	Gr	[At.Gr.n].2.2										NA	NA	51	sehr hoch	5	23	31-Mar-08	476304	28. Feb 08	19
43	43850	476301	Ishikawa	[At.Ishikawa.n].2.1	4.5455	9.3694	11.1198	0.4076	7.2709	13.6277	3.4651	[At.Ishikawa.n].2.1	0.030649728	-5.859	-8.695	19	sehr gering	1	9	31-Mar-08	476301	28. Feb 08	4
43		476302	Ishikawa	[At.Ishikawa.n].2.2										-5.859	-8.695	51	sehr gering	1	7	31-Mar-08	476302	28. Feb 08	2
43	43851	476299	Jm-0	[At.Jm-0.n].2.1	16.8283	15.1955		2.5911	5.7862	9.3649	2.9601	[At.Jm-0.n].2.1	0.0379384	-5.489	-8.448	51	sehr hoch	5	30	31-Mar-08	476299	28. Feb 08	26
43	43852	476300	Jm-0	[At.Jm-0.n].2.2	18.9946	16.148	15.0487	1.9923	5.6279	2.2499	1.3179	[At.Jm-0.n].2.2	0.03068606	-5.489	-8.448	51	sehr hoch	5	28	31-Mar-08	476300	28. Feb 08	28
43	43853	476377	Kn-0	[At.Kn-0.n].2.1.1	3.837	3.357	11.5726	0.8311	8.506	10.1583	3.511	[At.Kn-0.n].2.1.1	0.035461237	-6.567	-11.56	52	gering	2	22	31-Mar-08	476377	28. Feb 08	17
43	43854	476378	Kn-0	[At.Kn-0.n].2.1.2	7.6879	6.8088	14.7459	1.2728	6.8005	9.8645	3.1033	[At.Kn-0.n].2.1.2	0.032205327	-6.567	-11.56	52	mittel	3	16	31-Mar-08	476378	28. Feb 08	15
43	43855	476297	Kondara	[At.Kondara.x].2.2	14.5498	20.1248	11.5071	1.4602	10.7953	10.8895	3.834	[At.Kondara.x].2.2	0.067321321	-5.514	-9.133	50	mittel	3	20	31-Mar-08	476297	28. Feb 08	19
43	43856	476298	Kondara	[At.Kondara.x].2.3	16.6195	21.4336	12.0369	2.1046	7.1691	10.61	2.3289	[At.Kondara.x].2.3	0.030070651	-5.514	-9.133	19	hoch	4	27	31-Mar-08	476298	28. Feb 08	29
43	43857	476375	La-er	[At.La_er.n].37.1.1	4.5045	4.9543	10.2454	0.6847	11.3347	13.2897	4.5309	[At.La_er.n].37.1.1	0.048038048	-6.026	-8.937	50	mittel	3	11	31-Mar-08	476375	28. Feb 08	9
43	43858	476376	La-er	[At.La_er.n].37.1.2	7.1165	8.3069	10.5765	1.4527	8.6045	11.2337	3.0792	[At.La_er.n].37.1.2	0.046546353	-6.026	-8.937	51	hoch	4	13	31-Mar-08	476376	28. Feb 08	12
43	43859	476341	Lip-0	[At.Lip-0. n].2.1	12.9786	13.5238	12.7862	1.7448	4.7132	8.6307	2.4731	[At.Lip-0. n].2.1	0.029012511	-4.973	-7.581	50	hoch	4	24	31-Mar-08	476341	28. Feb 08	22
43	43860	476342	Lip-0	[At.Lip-0. n].2.2	12.1522	11.2195	14.3986	1.702	6.9107	9.3141	2.6817	[At.Lip-0. n].2.2	0.028850694	-4.973	-7.581	51	hoch	4	22	31-Mar-08	476342	28. Feb 08	21
43	43861	476399	Lu	[At.Lu.n].2.1.1	10.8249	12.4955	13.7579	2.2103	6.5337	9.9174	2.736	[At.Lu.n].2.1.1	0.033406825	NA	NA	19	hoch	4	17	31-Mar-08	476399	28. Feb 08	19
43	43862	476400	Lu	[At.Lu.n].2.1.2	8.6536	10.5204	9.6632	1.3603	6.7141	13.7303	2.5093	[At.Lu.n].2.1.2	0.032153467	NA	NA	50	hoch	4	22	31-Mar-08	476400	28. Feb 08	17
43		476295	Mh-1	[At.Mh-1.n].2.17										-4.921	-8.412	52	gering	2	3	31-Mar-08	476295	28. Feb 08	2
43		476296	Mh-1	[At.Mh-1.n].2.18										-4.921	-8.412	50	sehr gering	1	1	31-Mar-08	476296	28. Feb 08	0
43	43863	476293	Ms-0	[At.Ms-0.n].3.1	12.8492	13.8478	9.9835	1.2159	5.9922	9.6214	4.8161	[At.Ms-0.n].3.1	0.030565641	-7.715	-11.89	52	mittel	3	27	31-Mar-08	476293	28. Feb 08	20
43	43864	476294	Ms-0	[At.Ms-0.n].3.2	7.9857	8.6779	9.7053	0.8204	9.0205	11.3449	3.9929	[At.Ms-0.n].3.2	0.039252284	-7.715	-11.89	NA	NA	NA	NA	31-Mar-08		28. Feb 08	NA
43	43865	476313	Ms-0	[At.Ms-0.n].3.3	18.7464	20.2982	23.134	2.613	5.6568	9.3971	3.0849	[At.Ms-0.n].3.3	0.037855099	-7.715	-11.89	NA	NA	NA	NA	31-Mar-08		28. Feb 08	NA
43	43866	476314	Ms-0	[At.Ms-0.n].3.4	17.7955	18.1299	14.2792	1.3915	6.6919	7.7091	6.3078	[At.Ms-0.n].3.4	0.031942209	-7.715	-11.89	51	mittel	3	23	31-Mar-08	476314	28. Feb 08	20
52		483062	Ms-0	[At.Ms-0.n].3.5										-7.715	-11.89	50	sehr gering	1	33	31-Mar-08	483062	28. Feb 08	35
52		483063	Ms-0	[At.Ms-0.n].3.6										-7.715	-11.89	51	mittel	3	31	31-Mar-08	483063	28. Feb 08	30
43	43867	476315	Mt-0	[At.Mt-0.n].2.1	8.495	7.627	11.7014	1.0628	9.8265	15.1383	4.2015	[At.Mt-0.n].2.1	0.046284313	-5.552	-8.162	50	hoch	4	14	31-Mar-08	476315	28. Feb 08	8
43	43868	476316	Mt-0	[At.Mt-0.n].2.2	9.3482	6.702	11.5712	0.9881	11.9165	16.0713	5.3435	[At.Mt-0.n].2.2	0.042084524	-5.552	-8.162	19	mittel	3	9	31-Mar-08	476316	28. Feb 08	5
43	43869	476343	N13	[At.N13. n].2.1	13.8471	16.7748	12.3914	1.8191	6.126	9.7973	2.531	[At.N13. n].2.1	0.038129285	-5.523	-11.9	51	mittel	3	22	31-Mar-08	476343	28. Feb 08	21
43	43870	476344	N13	[At.N13. n].2.2	13.0939	14.4392	12.6157	1.7473	8.0394	11.8265	3.1725	[At.N13. n].2.2	0.070074372	-5.523	-11.9	51	mittel	3	23	31-Mar-08	476344	28. Feb 08	19
43		476317	N6	[At.N6.n].2.1										-7.344	-11.83	52	hoch	4	16	31-Mar-08	476317	28. Feb 08	14
43	43871	476318	N6	[At.N6.n].2.2	13.9937	18.5044	16.2314	1.5991	6.979	12.4164	3.6876	[At.N6.n].2.2	0.048148315	-7.344	-11.83	52	gering	2	6	31-Mar-08	476318	28. Feb 08	4
43	43872	476319	N7	[At.N7.n].2.1	41.994	41.1127	18.2417	3.1967	3.9695	8.5537	2.5142	[At.N7.n].2.1	0.029122439	-6.676	-10.14	50	hoch	4	26	31-Mar-08	476319	28. Feb 08	29
43		476320	N7	[At.N7.n].2.2										-6.676	-10.14	19	sehr hoch	5	25	31-Mar-08	476320	28. Feb 08	26
43	43874	476321	Nok-1	[At.Nok-1.n].2.1	10.4351	9.2303	11.7899	0.7859	7.5624	17.085	3.8947	[At.Nok-1.n].2.1	0.040978068	-6.657	-11.76	50	gering	2	18	31-Mar-08	476321	28. Feb 08	16
43	43875	476322	Nok-1	[At.Nok-1.n].2.2	14.8246	15.103	12.6292	1.1751	6.2243	14.5099	2.8768	[At.Nok-1.n].2.2	0.034495772	-6.657	-11.76	50	mittel	3	29	31-Mar-08	476322	28. Feb 08	30
43	43876	476363	Ost-0	[At.Ost-0.n].1.1.1	18.6133	19.3977	17.4504	1.5203	7.2047	12.1409	2.823	[At.Ost-0.n].1.1.1	0.039223356	-5.095	-8.076	52	gering	2	5	31-Mar-08	476363	28. Feb 08	3
43		476364	Ost-0	[At.Ost-0.n].1.1.2										-5.095	-8.076	53	hoch	4	12	31-Mar-08	476364	28. Feb 08	11
43	43877	476351	Oy-1	[At.Oy-1.n].32.1.1	6.3375	5.5702	9.7047	1.0636	7.5214	15.6856	1.9786	[At.Oy-1.n].32.1.1	0.041392041	-7.199	-11.48	50	hoch	4	14	31-Mar-08	476351	28. Feb 08	11
43	43878	476352	Oy-1	[At.Oy-1.n].32.1.2	12.6934	15.6552	14.4035	1.7031	10.3805	1.6382	0.9673	[At.Oy-1.n].32.1.2	0.037155117	-7.199	-11.48	50	sehr hoch	5	22	31-Mar-08	476352	28. Feb 08	18
43	43879	476403	Pi-0	[At.Pi-0. n].4.1	11.3145	14.0213	19.4831	2.2301	7.4268	11.4553	2.7418	[At.Pi-0. n].4.1	0.044785186	-6.607	-8.378	52	mittel	3	10	31-Mar-08	476403	28. Feb 08	11
43	43880	476404	Pi-0	[At.Pi-0. n].4.2	11.1737	13.3987	9.2783	1.5634	10.4005	11.0061	2.5434	[At.Pi-0. n].4.2	0.045547109	-6.607	-8.378	52	hoch	4	11	31-Mar-08	476404	28. Feb 08	10
