Datum	Schnee	Sonne	Temp	Monat	Jahr	Feld
1.10.2007	0	150	5.5	Oktober	2007	Feld2
2.10.2007	0	0	10.7	Oktober	2007	Feld2
3.10.2007	0	408	5.8	Oktober	2007	Feld2
4.10.2007	0	18	4.7	Oktober	2007	Feld2
5.10.2007	0	234	8.1	Oktober	2007	Feld2
6.10.2007	0	192	3	Oktober	2007	Feld2
7.10.2007	0	378	2.4	Oktober	2007	Feld2
8.10.2007	0	342	1.3	Oktober	2007	Feld2
9.10.2007	0	30	2.3	Oktober	2007	Feld2
10.10.2007	0	582	0.2	Oktober	2007	Feld2
11.10.2007	0	0	2.1	Oktober	2007	Feld2
12.10.2007	0	114	5.8	Oktober	2007	Feld2
13.10.2007	0	426	1.5	Oktober	2007	Feld2
14.10.2007	0	600	0.4	Oktober	2007	Feld2
15.10.2007	0	594	-0.5	Oktober	2007	Feld2
16.10.2007	0	252	4.1	Oktober	2007	Feld2
17.10.2007	0	360	6	Oktober	2007	Feld2
18.10.2007	0	348	5.8	Oktober	2007	Feld2
19.10.2007	0	456	1.2	Oktober	2007	Feld2
20.10.2007	0	294	-3.8	Oktober	2007	Feld2
21.10.2007	0	228	2.3	Oktober	2007	Feld2
22.10.2007	0	252	-6.5	Oktober	2007	Feld2
23.10.2007	0	258	-4.2	Oktober	2007	Feld2
24.10.2007	0	0	4.8	Oktober	2007	Feld2
25.10.2007	0	0	6.7	Oktober	2007	Feld2
26.10.2007	0	0	2.1	Oktober	2007	Feld2
27.10.2007	0	0	6.4	Oktober	2007	Feld2
28.10.2007	0	54	1.2	Oktober	2007	Feld2
29.10.2007	0	216	0.9	Oktober	2007	Feld2
30.10.2007	0	0	4.2	Oktober	2007	Feld2
31.10.2007	0	240	0	Oktober	2007	Feld2
1.11.2007	0	0	3.5	November	2007	Feld2
2.11.2007	0	0	9.7	November	2007	Feld2
3.11.2007	0	0	9.3	November	2007	Feld2
4.11.2007	0	132	4.5	November	2007	Feld2
5.11.2007	0	192	-3.3	November	2007	Feld2
6.11.2007	0	156	3.5	November	2007	Feld2
7.11.2007	0	18	-0.6	November	2007	Feld2
8.11.2007	0	114	2.7	November	2007	Feld2
9.11.2007	0	114	3.3	November	2007	Feld2
10.11.2007	0	168	0.5	November	2007	Feld2
11.11.2007	0	0	-2.2	November	2007	Feld2
12.11.2007	2	12	-1.2	November	2007	Feld2
13.11.2007	0	354	-3.2	November	2007	Feld2
14.11.2007	0	12	-2.1	November	2007	Feld2
15.11.2007	0	126	-2	November	2007	Feld2
16.11.2007	0	0	-6.2	November	2007	Feld2
17.11.2007	0	0	1.3	November	2007	Feld2
18.11.2007	0	0	4.2	November	2007	Feld2
19.11.2007	0	186	-2	November	2007	Feld2
20.11.2007	0	12	-1.7	November	2007	Feld2
21.11.2007	0	324	-2.9	November	2007	Feld2
22.11.2007	0	36	-1.1	November	2007	Feld2
23.11.2007	0	0	3.6	November	2007	Feld2
24.11.2007	0	156	-0.4	November	2007	Feld2
25.11.2007	1	78	-3.8	November	2007	Feld2
26.11.2007	0	312	-2.3	November	2007	Feld2
27.11.2007	0	168	-3.3	November	2007	Feld2
28.11.2007	0	120	-6.9	November	2007	Feld2
29.11.2007	0	18	-2.8	November	2007	Feld2
30.11.2007	0	6	2.1	November	2007	Feld2
1.12.2007	0	30	4.6	Dezember	2007	Feld2
2.12.2007	0	60	1	Dezember	2007	Feld2
3.12.2007	0	36	5	Dezember	2007	Feld2
4.12.2007	0	186	2.8	Dezember	2007	Feld2
5.12.2007	0	0	2.8	Dezember	2007	Feld2
6.12.2007	0	102	5	Dezember	2007	Feld2
7.12.2007	0	168	6.9	Dezember	2007	Feld2
8.12.2007	0	156	2	Dezember	2007	Feld2
9.12.2007	0	24	0.7	Dezember	2007	Feld2
10.12.2007	0	306	-1	Dezember	2007	Feld2
11.12.2007	0	0	3	Dezember	2007	Feld2
12.12.2007	0	0	4	Dezember	2007	Feld2
13.12.2007	0	0	2.6	Dezember	2007	Feld2
14.12.2007	0	42	1	Dezember	2007	Feld2
15.12.2007	0	420	-6.5	Dezember	2007	Feld2
16.12.2007	0	0	-8.3	Dezember	2007	Feld2
17.12.2007	0	0	-1.4	Dezember	2007	Feld2
18.12.2007	0	0	-1.6	Dezember	2007	Feld2
19.12.2007	0	0	-1.6	Dezember	2007	Feld2
20.12.2007	0	0	-2.4	Dezember	2007	Feld2
21.12.2007	0	0	-5.3	Dezember	2007	Feld2
22.12.2007	0	0	-6.1	Dezember	2007	Feld2
23.12.2007	0	306	-9.7	Dezember	2007	Feld2
