"acc"	"arafield4_predictionACC"	"measuredLT50ACC"
"1"	"Be-0"	-7.25804767185408	-5.706
"2"	"Be-0"	-7.62273062372884	-5.706
"3"	"Bsch-2"	-9.9307174538754	-9.132
"4"	"Bsch-2"	-10.8695600514956	-9.132
"5"	"Bsch-2"	-9.25253727711522	-9.132
"6"	"Bsch-2"	-10.2459682058731	-9.132
"7"	"Bu-2"	-9.16142271933877	-9.999
"8"	"Bu-2"	-9.66120806010311	-9.999
"9"	"Ei-2"	-10.5817319095564	-10.59
"10"	"Ei-2"	-11.0654646422576	-10.59
"11"	"Est-1"	-8.90372019747002	-9.66
"12"	"Est-1"	-9.77906700134762	-9.66
"13"	"Je54"	-8.87951039455453	-7.212
"14"	"Je54"	-10.1295568491438	-7.212
"15"	"Ost-0"	-8.10202967906298	-8.076
"16"	"Ost-0"	-8.28665360198359	-8.076
"17"	"Petergof"	-9.90229922905248	-10.24
"18"	"Petergof"	-10.5626741925359	-10.24
"19"	"RRS-7"	-7.31870251733113	-10.78
"20"	"RRS-7"	-9.69666356906145	-10.78
"21"	"Sorbo"	-9.78568464367312	-9.499
"22"	"Sorbo"	-10.2924348339825	-9.499
"23"	"Ty-0"	-9.38906714884106	-11.14
"24"	"Ty-0"	-10.2534740907879	-11.14
"25"	"Van-0"	-11.1960464947504	-6.726
"26"	"Van-0"	-11.1813665112328	-6.726
