"versuch_id"	"accession"	"plant_name"	"LT50NAC"	"LT50ACC"	"glucose"	"fructose"	"sucrose"	"raffinose"	"amino_acids"	"malate"	"fumarate"	"proline"	"anthoscore"	"antho_value_en"	"bbch_id"	"rank_bbch_id"	"percent_bbch_id"	"norm_bbch_id"	"bbch_categories"	"glucose_positive"	"fructose_positive"	"sucrose_positive"	"raffinose_positive"	"amino_acids_positive"	"malate_positive"	"fumarate_positive"	"proline_positive"	"flowering_state"	"vegetative_state"	"capacity"
"1"	119	"Akita"	"[At.Akita.n].2.1-3"	-4.742	-9.344	24.445298	20.008404	27.273148	3.782456	12.10565544	21.67697726	2.332595308	0.108698875	3	"intermediate"	52	25	15.7232704402516	-1.32727272727273	"generative buds"	24.445298	20.008404	27.273148	3.782456	12.10565544	21.67697726	2.332595308	0.108698875	"non-flowering"	"non-vegetative"	-4.602
"2"	119	"Akita"	"[At.Akita.n].2.1-4"	-4.742	-9.344	12.168366	12.706198	12.311734	2.272946	8.475075091	13.14118445	1.218194375	0.041051171	3	"intermediate"	53	53	33.3333333333333	-0.818181818181818	"generative buds"	12.168366	12.706198	12.311734	2.272946	8.475075091	13.14118445	1.218194375	0.041051171	"non-flowering"	"non-vegetative"	-4.602
"3"	119	"Alc-0"	"[At.Alc-0. n].3-3"	-5.257	-5.907	16.507944	13.634394	17.284768	1.806442	21.01997937	25.01228181	5.327618796	0.215663194	3	"intermediate"	59	132.5	83.3333333333333	0.627272727272727	"generative buds"	16.507944	13.634394	17.284768	1.806442	21.01997937	25.01228181	5.327618796	0.215663194	"non-flowering"	"non-vegetative"	-0.65
"4"	119	"Alc-0"	"[At.Alc-0. n].3-4"	-5.257	-5.907	14.788234	13.056986	20.486306	1.989146	13.66490908	26.98277433	2.989257881	0.082102342	3	"intermediate"	59	132.5	83.3333333333333	0.627272727272727	"generative buds"	14.788234	13.056986	20.486306	1.989146	13.66490908	26.98277433	2.989257881	0.082102342	"non-flowering"	"non-vegetative"	-0.65
"5"	119	"Be-0"	"[At.Be-0.n].2.1-3"	-4.633	-5.706	21.890396	14.45409	18.57433	2.675316	10.62082072	15.85050848	3.470999709	0.085571455	3	"intermediate"	63	153	96.2264150943396	1	"flowering"	21.890396	14.45409	18.57433	2.675316	10.62082072	15.85050848	3.470999709	0.085571455	"flowering"	"non-vegetative"	-1.073
"6"	119	"Be-0"	"[At.Be-0.n].2.1-4"	-4.633	-5.706	8.01942	6.024028	10.094886	1.444956	10.85648065	13.18364194	3.834148926	0.057240365	3	"intermediate"	59	132.5	83.3333333333333	0.627272727272727	"generative buds"	8.01942	6.024028	10.094886	1.444956	10.85648065	13.18364194	3.834148926	0.057240365	"non-flowering"	"non-vegetative"	-1.073
"7"	119	"Bl-1"	"[At.Bl-1.n].22.4-3"	-6.058	-9.195	12.197132	8.447056	26.17372	2.225566	16.78696011	27.10810176	3.388056118	0.17750295	3	"intermediate"	55	98	61.6352201257862	0	"generative buds"	12.197132	8.447056	26.17372	2.225566	16.78696011	27.10810176	3.388056118	0.17750295	"non-flowering"	"non-vegetative"	-3.137
"8"	119	"Bl-1"	"[At.Bl-1.n].22.4-4"	-6.058	-9.195	8.37678	5.900796	18.104648	1.982682	11.87708303	29.18148285	3.35311946	0.101760649	4	"high"	53	53	33.3333333333333	-0.818181818181818	"generative buds"	8.37678	5.900796	18.104648	1.982682	11.87708303	29.18148285	3.35311946	0.101760649	"non-flowering"	"non-vegetative"	-3.137
"9"	119	"Bla-1"	"[At.Bla-1.n].102.1-3"	-6.175	-8.316	16.243168	9.640846	18.29639	2.009656	13.78362391	24.61855988	4.447409572	0.170564724	3	"intermediate"	59	132.5	83.3333333333333	0.627272727272727	"generative buds"	16.243168	9.640846	18.29639	2.009656	13.78362391	24.61855988	4.447409572	0.170564724	"non-flowering"	"non-vegetative"	-2.141
"10"	119	"Bla-1"	"[At.Bla-1.n].102.1-4"	-6.175	-8.316	7.964522	3.911482	10.586808	1.545312	9.826489777	19.92866603	2.755846332	0.148593675	4	"high"	55	98	61.6352201257862	0	"generative buds"	7.964522	3.911482	10.586808	1.545312	9.826489777	19.92866603	2.755846332	0.148593675	"non-flowering"	"non-vegetative"	-2.141
"11"	119	"Bla-11"	"[At.Bla-11.n].115-3"	NA	NA	31.787196	22.147942	29.830184	2.370532	18.01132859	26.29422389	10.56974873	0.291405495	3	"intermediate"	63	153	96.2264150943396	1	"flowering"	31.787196	22.147942	29.830184	2.370532	18.01132859	26.29422389	10.56974873	0.291405495	"flowering"	"non-vegetative"	NA
"12"	119	"Bla-11"	"[At.Bla-11.n].115-4"	NA	NA	17.035996	9.770196	15.170554	2.268502	12.53090643	21.58684657	9.067245298	0.095978794	4	"high"	53	53	33.3333333333333	-0.818181818181818	"generative buds"	17.035996	9.770196	15.170554	2.268502	12.53090643	21.58684657	9.067245298	0.095978794	"non-flowering"	"non-vegetative"	NA
"13"	119	"Blh-1"	"[At.Blh-1.NULL].81-3"	-6.212	-9.413	23.806514	17.118646	29.375212	4.529816	9.32689644	14.5763304	1.356443534	0.098291536	3	"intermediate"	55	98	61.6352201257862	0	"generative buds"	23.806514	17.118646	29.375212	4.529816	9.32689644	14.5763304	1.356443534	0.098291536	"non-flowering"	"non-vegetative"	-3.201
"14"	119	"Blh-1"	"[At.Blh-1.NULL].81-4"	-6.212	-9.413	21.531264	15.62653	22.103496	3.548846	8.974839638	12.29208361	4.642179504	0.094822423	3	"intermediate"	52	25	15.7232704402516	-1.32727272727273	"generative buds"	21.531264	15.62653	22.103496	3.548846	8.974839638	12.29208361	4.642179504	0.094822423	"non-flowering"	"non-vegetative"	-3.201
