"acc"	"plant_name"	"glc"	"frc"	"suc"	"raf"	"aa"	"mal"	"fum"	"pro"	"antho"	"bbch"	"anthoscore"
"1"	"Be-0"	"[At.Be-0.n].2.1-3"	21.890396	14.45409	18.57433	2.675316	10.62082072	15.85050848	3.470999709	0.085571455	4.1175	63	3
"2"	"Be-0"	"[At.Be-0.n].2.1-4"	8.01942	6.024028	10.094886	1.444956	10.85648065	13.18364194	3.834148926	0.057240365	4.7025	59	3
"3"	"Bsch-2"	"[At.Bsch-2.n].2.1-3"	17.21241	9.850742	12.538628	2.188044	12.90300105	11.62869993	5.687443663	0.142233635	4.86	53	4
"4"	"Bsch-2"	"[At.Bsch-2.n].2.1-4"	24.63651	17.597474	13.477042	3.773204	11.09036869	20.61756642	1.686865928	0.106386133	6.975	53	5
"5"	"Bsch-2"	"[At.Bsch-2.n].78-3"	13.719306	9.14648	12.848722	2.079186	17.61619955	23.69504917	4.585163189	0.15437553	5.445	55	4
"6"	"Bsch-2"	"[At.Bsch-2.n].78-4"	23.164406	16.254824	14.022904	3.302906	12.0666741	23.45724599	3.095492577	0.098291536	5.4	55	5
"7"	"Bu-2"	"[At.Bu-2.n].59-3"	39.147398	25.34374	23.81247	3.42637	16.18452121	25.06228145	7.764853345	0.132404481	3.1725	59	3
"8"	"Bu-2"	"[At.Bu-2.n].59-4"	10.27901	8.208314	14.033448	2.142662	13.08018896	16.53905891	7.448048885	0.073429559	5.5575	53	2
"9"	"Ei-2"	"[At.Ei-2.n].95-3"	17.920574	13.597262	14.370774	2.722846	14.13800081	18.63236482	5.876147043	0.07458593	2.9475	53	3
"10"	"Ei-2"	"[At.Ei-2.n].95-4"	20.626518	16.700428	18.099026	2.729892	19.51742586	34.34956983	5.115149403	0.104651577	1.485	51	2
"11"	"Est-1"	"[At.Est-1.n].2.5-3"	27.708744	17.512752	25.781526	1.499282	17.35927707	22.48834108	4.855147985	0.164782869	3.555	53	4
"12"	"Est-1"	"[At.Est-1.n].2.5-4"	12.913386	6.91883	14.540012	1.071684	19.54223217	24.82447827	10.07636135	0.249776139	2.4075	51	3
"13"	"Je54"	"[At.Je 54.n].78-3"	18.696038	11.390268	17.814612	3.07045	11.11694688	21.03349216	7.119598872	0.187910289	4.0725	59	4
"14"	"Je54"	"[At.Je 54.n].78-4"	19.941506	11.718212	17.723028	3.757472	10.54285804	14.7312294	4.702568531	0.141077263	7.47	55	4
"15"	"Ost-0"	"[At.Ost-0.n].1.1-3"	20.8546	8.67799	19.140866	1.274354	21.23422418	23.81832758	12.60944364	0.202943113	1.9125	59	3
"16"	"Ost-0"	"[At.Ost-0.n].1.1-4"	23.644968	15.650014	17.816972	2.930822	9.734507058	16.27391159	3.148206682	0.097135165	6.7275	59	4
"17"	"Petergof"	"[At.Petergof.n].85-3"	13.499358	12.604352	17.99268	2.25121	17.5098868	25.42541207	6.403996175	0.095978794	4.995	53	4
"18"	"Petergof"	"[At.Petergof.n].85-4"	10.725582	11.658166	15.164188	3.060206	14.65716139	18.18152375	3.189131907	0.066491333	7.92	52	5
"19"	"RRS-7"	"[At.RRS7.n].92-3"	34.068366	39.631396	31.467802	2.582756	13.92622675	25.18040113	0.0188193902	0.359053199	4.1175	55	4
"20"	"RRS-7"	"[At.RRS7.n].92-4"	17.220494	17.975396	21.795118	2.546388	11.42794131	20.34385986	8.067780163	0.12604444	6.435	52	4
"21"	"Sorbo"	"[At.Sorbo. n].3-1"	18.53518	17.20152	18.492836	1.911422	17.16633535	20.10274727	13.67888551	0.191957588	1.305	53	2
"22"	"Sorbo"	"[At.Sorbo. n].3-2"	12.971702	14.7764	11.775322	1.640456	12.16172453	11.00788516	4.932130555	0.05666218	1.5975	50	2
"23"	"Ty-0"	"[At.Ty-0.n].2.1-3"	18.596568	16.35613	18.442006	2.774728	12.73990162	22.64218468	4.867249999	0.156688272	4.68	55	4
"24"	"Ty-0"	"[At.Ty-0.n].2.1-4"	10.56904	8.192014	7.857718	1.333606	10.02724473	18.11290594	0.827071949	0.053193067	0.6975	50	2
"25"	"Van-0"	"[At.Van-0.n].84-3"	23.571788	18.896478	16.705468	3.86049	8.042736582	24.28360032	2.180253308	0.175190208	3.6	51	3
"26"	"Van-0"	"[At.Van-0.n].84-4"	24.286068	19.663632	18.632848	3.42925	16.62926287	27.84665184	5.24301303	0.176924765	2.61	51	2
