"accession"	"plant_name"	"yLT50ACC"	"yLT50NAC"	"glc"	"frc"	"suc"	"raf"	"aa"	"mal"	"fum"	"pro"	"antho"	"bbch"	"anthoscore"
"1"	"Akita"	"[At.Akita.n].2.1-3"	-9.344	-4.742	24.445298	20.008404	27.273148	3.782456	12.10565544	21.67697726	2.332595308	0.108698875	5.0625	52	3
"2"	"Akita"	"[At.Akita.n].2.1-4"	-9.344	-4.742	12.168366	12.706198	12.311734	2.272946	8.475075091	13.14118445	1.218194375	0.041051171	4.545	53	3
"3"	"Alc-0"	"[At.Alc-0. n].3-3"	-5.907	-5.257	16.507944	13.634394	17.284768	1.806442	21.01997937	25.01228181	5.327618796	0.215663194	2.2275	59	3
"4"	"Alc-0"	"[At.Alc-0. n].3-4"	-5.907	-5.257	14.788234	13.056986	20.486306	1.989146	13.66490908	26.98277433	2.989257881	0.082102342	2.655	59	3
"5"	"Bl-1"	"[At.Bl-1.n].22.4-3"	-9.195	-6.058	12.197132	8.447056	26.17372	2.225566	16.78696011	27.10810176	3.388056118	0.17750295	3.8925	55	3
"6"	"Bl-1"	"[At.Bl-1.n].22.4-4"	-9.195	-6.058	8.37678	5.900796	18.104648	1.982682	11.87708303	29.18148285	3.35311946	0.101760649	3.465	53	4
"7"	"Bla-1"	"[At.Bla-1.n].102.1-3"	-8.316	-6.175	16.243168	9.640846	18.29639	2.009656	13.78362391	24.61855988	4.447409572	0.170564724	3.375	59	3
"8"	"Bla-1"	"[At.Bla-1.n].102.1-4"	-8.316	-6.175	7.964522	3.911482	10.586808	1.545312	9.826489777	19.92866603	2.755846332	0.148593675	3.9375	55	4
"9"	"Blh-1"	"[At.Blh-1.NULL].81-3"	-9.413	-6.212	23.806514	17.118646	29.375212	4.529816	9.32689644	14.5763304	1.356443534	0.098291536	4.5	55	3
"10"	"Blh-1"	"[At.Blh-1.NULL].81-4"	-9.413	-6.212	21.531264	15.62653	22.103496	3.548846	8.974839638	12.29208361	4.642179504	0.094822423	3.78	52	3
"11"	"Bur-0"	"[At.Bur-0.n].32-3"	-9.445	-6.186	20.846878	19.028088	35.670944	2.141566	12.20677729	21.38747152	1.640224143	0.175768394	2.835	51	2
"12"	"Bur-0"	"[At.Bur-0.n].32-4"	-9.445	-6.186	18.224996	19.092984	30.441648	2.230922	14.61334558	20.45251712	5.637488042	0.189066661	2.52	53	2
"13"	"C24"	"[At.C24.n].728.1-3"	-5.93	-4.612	35.947006	13.778952	13.620008	1.182818	18.35235265	26.31000418	5.552655261	0.25093251	1.6425	65	2
"14"	"C24"	"[At.C24.n].728.1-4"	-5.93	-4.612	28.330444	11.453402	12.474184	1.493574	13.26541425	32.2204621	5.357224174	0.123731698	1.665	63	2
"15"	"C24"	"[At.C24.n].728.1-5"	-5.93	-4.612	46.454268	18.468964	18.747942	1.632496	8.541828598	25.8715714	0.470904892	0.053771252	2.88	63	2
"16"	"C24"	"[At.C24.n].728.1-6"	-5.93	-4.612	30.913808	13.774652	12.21819	1.5785	10.04418864	17.6138922	4.312033784	0.09135331	2.0925	63	1
"17"	"C24"	"[At.C24.n].728.1-7"	-5.93	-4.612	17.386606	8.00905	9.42826	0.82188	30.98686175	20.18883182	4.506651704	0.482784898	1.1025	61	1
"18"	"Can-0"	"[At.Can-0.n].53-3"	-5.774	-4.276	16.417988	8.609722	12.885232	1.308418	16.55436868	22.7815808	12.3235819	0.13124811	1.8675	59	2
"19"	"Can-0"	"[At.Can-0.n].53-4"	-5.774	-4.276	7.548922	3.835018	6.695752	0.898512	11.67740736	13.17915268	6.047752744	0.063600406	2.2275	53	4
"20"	"Co"	"[At.Co.n].2.11-3"	-6.497	-4.608	25.859626	8.243376	15.315594	1.292006	20.81266951	21.46425598	7.692985031	0.174612023	2.61	63	2
"21"	"Co"	"[At.Co.n].2.11-4"	-6.497	-4.608	11.590762	6.289456	11.170028	0.723094	19.81510155	15.76270422	11.75354807	0.252667066	2.475	63	1
"22"	"Col-0"	"[At.Col-0.NULL].84-3"	-9.675	-5.341	21.990614	11.809324	13.656664	2.313956	11.40534943	18.15406504	4.709401292	0.085571455	4.725	55	4
"23"	"Col-0"	"[At.Col-0.NULL].84-4"	-9.675	-5.341	26.27193	14.242622	18.14381	3.28021	9.618708229	20.77745672	7.486365903	0.081524156	6.9525	55	5
"24"	"Col-0"	"[At.Col-0-G1.n].1-1.1-3"	-9.675	-5.341	30.940124	14.919492	17.813774	3.81944	11.64632949	20.46255007	10.54062039	0.215085008	7.0875	55	4
"25"	"Col-0"	"[At.Col-0-G1.n].1-1.1-4"	-9.675	-5.341	21.352338	11.106636	15.233892	2.882856	10.55062329	21.13837305	4.468974976	0.136451779	8.64	55	5
"26"	"Col-0"	"[At.Col-0-G1.n].1-1.1-5"	-9.675	-5.341	21.655644	9.875002	13.49016	2.416608	10.55438861	19.45486539	16.71635116	0.085571455	5.445	59	3
"27"	"Col-0"	"[At.Col-0-G1.n].1-1.1-6"	-9.675	-5.341	21.68576	13.297766	18.840544	3.47655	11.00057824	21.47992125	8.087567222	0.121997142	7.3125	53	5
"28"	"Col-0"	"[At.Col-0-G1.n].1-1.1-7"	-9.675	-5.341	19.55581	9.483236	12.144264	2.352718	9.646948079	14.01919275	4.888026932	0.086727826	7.1775	55	4
"29"	"Ct-1"	"[At.Ct-1.n].3-3"	-10.03	-6.04	22.19557	13.26731	13.508384	2.305806	9.93724448	14.17508098	4.904650478	0.098869722	3.375	59	3
"30"	"Ct-1"	"[At.Ct-1.n].3-4"	-10.03	-6.04	21.548708	10.739726	11.136254	1.8333	8.715188351	13.83546287	5.857673334	0.068804075	2.7	55	3
"31"	"Cvi-G1"	"[At.Cvi-G1.n].1.1-3"	-7.467	-4.98	15.250444	12.46103	12.895722	1.870024	14.47255571	19.39028525	9.090057335	0.0797896	3.0825	55	3
"32"	"Cvi-G1"	"[At.Cvi-G1.n].1.1-4"	-7.467	-4.98	16.879518	8.65409	13.083226	1.727816	15.40552329	16.35328553	11.64114223	0.11448073	2.2725	63	3
"33"	"Edi-0"	"[At.Edi-0.NULL].39-3"	-8.906	-4.97	21.697814	12.769166	15.701676	3.702306	8.667966596	17.80284499	1.729687093	0.077476858	6.345	55	3
"34"	"Edi-0"	"[At.Edi-0.NULL].39-4"	-8.906	-4.97	26.60058	13.393646	20.376054	2.253952	9.421029275	15.1940197	2.299445962	0.531930666	4.455	51	3
"35"	"En-T"	"[At.Enkheim-T. n].2-3"	-10.7	-6.1	23.719592	10.040172	14.281402	2.411428	14.51948566	24.50691186	6.777513291	0.141655449	5.4	59	5
"36"	"En-T"	"[At.Enkheim-T. n].2-4"	-10.7	-6.1	17.617666	10.729042	12.441926	1.507686	17.28272164	26.27306138	7.510695531	0.097135165	2.5875	55	4
"37"	"Ge-0"	"[At.Ge-0. n].2-3"	-6.375	-5.069	39.3445	23.43721	17.867112	2.836382	8.763995509	18.59231593	4.987090709	0.169408353	3.69	63	4
"38"	"Ge-0"	"[At.Ge-0. n].2-4"	-6.375	-5.069	29.584102	19.451144	14.000566	1.92388	9.143113926	17.53556177	7.829395488	0.125466255	1.9125	61	3
"39"	"Gre-0"	"[At.Gre-0.NULL].39-3"	-9.357	-5.113	17.011182	10.074816	12.631616	2.487206	12.33161653	19.05033782	4.136118701	0.094822423	3.5775	53	4
"40"	"Gre-0"	"[At.Gre-0.NULL].39-4"	-9.357	-5.113	28.223732	24.068254	20.67462	2.278948	12.97925043	26.29063117	6.884351418	0.123153513	2.565	52	3
"41"	"Ishikawa"	"[At.Ishikawa.n].2-3"	-8.695	-5.859	17.841818	15.773438	17.220818	2.100552	10.80075572	8.394403471	2.766907298	0.093087866	5.5575	53	3
"42"	"Ishikawa"	"[At.Ishikawa.n].2-4"	-8.695	-5.859	18.052102	13.15901	19.207788	1.094294	14.7034511	23.39933553	14.84068801	0.200630371	1.755	53	2
"43"	"Jea"	"[At.Jea.NULL].38-3"	-8.147	-5.122	31.97276	14.350222	18.941152	3.014322	10.05171927	21.20377039	0.188193902	0.093666052	5.58	63	5
"44"	"Jea"	"[At.Jea.NULL].38-4"	-8.147	-5.122	31.066748	9.713194	16.528232	2.348364	10.57509783	28.22606122	4.995636005	0.142233635	3.645	61	3
"45"	"Jm-0"	"[At.Jm-0.n].2-3"	-8.448	-5.489	25.155712	12.048138	31.711352	3.160348	13.76297473	17.68576527	3.706588059	0.223757791	5.3325	55	4
"46"	"Jm-0"	"[At.Jm-0.n].2-4"	-8.448	-5.489	19.647216	8.594052	29.781542	3.035162	10.27514018	13.85079624	2.372265819	0.13760815	6.4575	53	5
